,var1,var2,corr
23036,中出し,逆転無し,-0.1339250462227924
25640,本番なし,中出し,-0.1326521951961239
31244,巨乳/爆乳,つるぺた,-0.11304955747400018
23037,中出し,乳首責め,-0.1015573075870867
23023,中出し,レズ/女同士,-0.09903024621266399
31157,巨乳/爆乳,乳首責め,-0.09880748090978106
58561,男の娘,巨乳/爆乳,-0.09772646076541613
25191,男性受け,中出し,-0.09662066252984322
31306,巨乳/爆乳,クリ責め,-0.09632085692228043
31178,巨乳/爆乳,女性視点,-0.08933064920186726
52218,百合,中出し,-0.08584393371677826
23055,中出し,人体改造,-0.08359127666951477
23435,マニアック/変態,中出し,-0.08226791403965486
67743,格闘,中出し,-0.08113443642788373
52865,連続絶頂,中出し,-0.08051732380552293
35761,ツルペタ,巨乳/爆乳,-0.08035609440531713
23186,中出し,クリ責め,-0.08021912464823944
52900,連続絶頂,巨乳/爆乳,-0.079815093567676
45400,女装,巨乳/爆乳,-0.0796394681811295
31186,巨乳/爆乳,ゲイ/男同士,-0.07943916844753758
24525,女主人公,中出し,-0.07576345229486532
50301,フェチ,中出し,-0.07542811871266455
23046,中出し,戦闘エロ,-0.07511192428793376
23121,中出し,リョナ,-0.07491847597817922
25174,男性受け,屈辱,-0.074733590208171
23215,中出し,快楽堕ち,-0.07403693683582961
29861,スカトロ,中出し,-0.07402894889572649
23064,中出し,機械責め,-0.07375020481977909
7052,つるぺた,逆転無し,-0.07348985076072677
16448,クリ責め,フェラチオ,-0.07339135896396976
12453,フェラチオ,人体改造,-0.07268080674951007
31172,巨乳/爆乳,シリーズもの,-0.07162402727817038
23182,中出し,責め苦,-0.07146496477183077
25137,男性受け,処女,-0.07097990246233901
62026,ほのぼの,巨乳/爆乳,-0.0705989988479342
8942,制服,逆転無し,-0.07034140950876012
23033,中出し,SM,-0.07011962832671607
67010,癒し,中出し,-0.06980325294699165
12519,フェラチオ,リョナ,-0.06976692152140124
52808,連続絶頂,フェラチオ,-0.06960208477823442
23160,中出し,性転換(TS),-0.06928058216874713
34931,羞恥/恥辱,中出し,-0.06865899180445201
59121,学生,触手,-0.0683917818938058
55880,フタナリ,おっぱい,-0.06835773773330404
31156,巨乳/爆乳,逆転無し,-0.06819816348368374
52934,連続絶頂,パイズリ,-0.06805694548631054
31371,巨乳/爆乳,萌え,-0.06755734220320431
61991,ほのぼの,中出し,-0.0672664557659691
7053,つるぺた,乳首責め,-0.06676503910208359
23089,中出し,レスラー/格闘家,-0.06589187232962723
23006,中出し,複乳/怪乳/超乳,-0.06575128431568046
67376,キャットファイト,中出し,-0.06575128431568017
24994,男性受け,レズ/女同士,-0.06560765431243878
50936,逆アナル,中出し,-0.06559419542635166
40367,パイズリ,クリ責め,-0.06549622095327205
25024,男性受け,アヘ顔,-0.06533871659654247
23113,中出し,3D作品,-0.06449458160604918
7815,触手,ギャル,-0.06423502883988236
16424,クリ責め,制服,-0.0640543532619628
31196,巨乳/爆乳,少女,-0.06391182328473594
54225,ファンタジー,おっぱい,-0.06348938903685122
23156,中出し,ピアス/装飾品,-0.06320303128980657
60593,くすぐり,中出し,-0.06277848062357515
40239,パイズリ,女性視点,-0.06270258990130845
55843,フタナリ,人妻,-0.0625848729074413
23196,中出し,女体化,-0.06225161389760505
25020,男性受け,貧乳/微乳,-0.06220910386226399
23038,中出し,精神支配,-0.06205604658187615
12912,処女,乳首責め,-0.061898167252225814
24468,女主人公,フェラチオ,-0.06172720055801696
36530,悪堕ち,中出し,-0.06096556020489934
25077,男性受け,命令/無理矢理,-0.06082541034117912
12013,性転換(TS),ラブラブ/あまあま,-0.06059619819066458
31151,巨乳/爆乳,メス堕ち,-0.060534758657447285
3053,ラブラブ/あまあま,人体改造,-0.06053395201461233
25583,本番なし,フェラチオ,-0.06052619315044996
23115,中出し,搾乳,-0.060475927178312246
64101,おねショタ,屈辱,-0.06047056927473464
12456,フェラチオ,女性視点,-0.06031525971663288
14228,学校/学園,乳首責め,-0.060151485810695536
59027,学生,逆転無し,-0.059830891675027226
56495,ギャグ,中出し,-0.0598292894419511
47493,女性優位,中出し,-0.05915705818908657
38174,妊娠/孕ませ,男性受け,-0.05898549130533267
55942,フタナリ,クンニ,-0.058193069133418075
29804,スカトロ,フェラチオ,-0.05819152835558273
19581,屈辱,ラブラブ/あまあま,-0.05817850408255209
31349,巨乳/爆乳,男性受け,-0.05803586223231164
58526,男の娘,中出し,-0.05725310601487809
7828,触手,ラブラブ/あまあま,-0.05714836850997763
52161,百合,フェラチオ,-0.05692506678313487
40218,パイズリ,乳首責め,-0.05675611267259931
23077,中出し,健全,-0.05669596949833424
62159,ぶっかけ,逆転無し,-0.056562764006525344
40233,パイズリ,シリーズもの,-0.05644576704252275
25102,男性受け,パイパン,-0.05638479478466443
55737,フタナリ,パイパン,-0.0563847947846642
7086,つるぺた,ギャル,-0.05623488427155995
23074,中出し,コメディ,-0.056050017304370044
31197,巨乳/爆乳,健全,-0.05600407005264029
25181,男性受け,断面図,-0.055901598089734654
55815,フタナリ,潮吹き,-0.05590159808973464
31265,巨乳/爆乳,耳舐め,-0.05570529441254153
58580,男の娘,おっぱい,-0.0557036579711745
31149,巨乳/爆乳,焦らし,-0.05565968355752967
3048,ラブラブ/あまあま,回し,-0.055391117139359056
31001,お尻/ヒップ,触手,-0.054686127650292266
55655,フタナリ,貧乳/微乳,-0.05464496586193569
59206,学生,快楽堕ち,-0.05460076791042653
12528,フェラチオ,触手,-0.054494820981534776
23697,オホ声,貧乳/微乳,-0.05449296736258272
31146,巨乳/爆乳,ニューハーフ,-0.054051290638224635
23868,オホ声,中出し,-0.05398680624100401
55043,ハーレム,拘束,-0.05398533747287411
30809,手コキ,クリ責め,-0.05376073851803517
40404,パイズリ,オホ声,-0.05361671954095463
25050,男性受け,イラマチオ,-0.0536038989971625
28952,退廃/背徳/インモラル,乳首責め,-0.05359413384409015
25101,男性受け,触手,-0.053530620041328275
4784,オナニー,逆転無し,-0.05350807452210386
36171,おっぱい,触手,-0.05332192429606445
36112,おっぱい,異種えっち,-0.05325369765171628
45968,ソフトエッチ,中出し,-0.05316406132768896
14227,学校/学園,逆転無し,-0.053149531731723515
977,貧乳/微乳,逆転無し,-0.052909618846813014
44137,複数プレイ/乱交,クリ責め,-0.05285450877077565
6748,リョナ,ラブラブ/あまあま,-0.052810349523514176
55676,フタナリ,ギャル,-0.05273335476368473
12462,フェラチオ,機械責め,-0.05262680553732528
58430,男の娘,つるぺた,-0.0526004022636938
26915,人妻,つるぺた,-0.05257050431217036
40302,パイズリ,リョナ,-0.052452294036554215
54978,ハーレム,乳首責め,-0.052404514201102634
31303,巨乳/爆乳,総集編,-0.052168155739935454
67045,癒し,巨乳/爆乳,-0.051983484911477994
40450,パイズリ,羞恥/恥辱,-0.051945986269382884
22103,快楽堕ち,フェラチオ,-0.05182584634918054
44182,複数プレイ/乱交,本番なし,-0.05180517475753978
55772,フタナリ,処女,-0.051666794131628564
36227,おっぱい,クリ責め,-0.05158146445472603
47397,女性優位,つるぺた,-0.051528282264689224
62309,ぶっかけ,クリ責め,-0.05150723155036901
30681,手コキ,女性視点,-0.051467664714469674
55071,ハーレム,触手,-0.051284833804531166
23130,中出し,触手,-0.051255815926506944
3031,ラブラブ/あまあま,SM,-0.051184069496644745
30694,手コキ,異種えっち,-0.05115634324532552
12911,処女,逆転無し,-0.051086732829570505
58595,男の娘,パイズリ,-0.051083444608958625
23085,中出し,ラバー,-0.05107261658824345
31351,巨乳/爆乳,本番なし,-0.05083282247599417
6864,変身ヒロイン,ラブラブ/あまあま,-0.05080553662642361
54174,ファンタジー,オホ声,-0.050620608199183396
31221,巨乳/爆乳,淫語,-0.05037810088969726
17656,トランス/暗示,ラブラブ/あまあま,-0.050365263485313165
23915,寝取られ,貧乳/微乳,-0.05032510492705523
59222,学生,本番なし,-0.05022714626497329
55745,フタナリ,制服,-0.050171734123063756
62160,ぶっかけ,乳首責め,-0.05016474647175581
25199,男性受け,合意なし,-0.05016125980379599
30745,手コキ,変身ヒロイン,-0.0501538847241087
58469,男の娘,フェラチオ,-0.0501418713534339
44009,複数プレイ/乱交,女性視点,-0.05013355324561436
18223,女体化,ラブラブ/あまあま,-0.05012697368376405
14321,学校/学園,触手,-0.05010604443108866
55144,ハーレム,屈辱,-0.0499903067650079
25105,男性受け,ぼて腹/妊婦,-0.04993068955464355
64004,おねショタ,命令/無理矢理,-0.04985913709636706
53988,ファンタジー,乳首責め,-0.04983006938635735
31237,巨乳/爆乳,ASMR,-0.04977927051721034
9036,制服,触手,-0.049708628934490566
52227,百合,男性受け,-0.049698019375656516
22023,快楽堕ち,ラブラブ/あまあま,-0.049631270680425305
28656,浣腸,中出し,-0.04947471067760333
30678,手コキ,人体改造,-0.04935071588465625
55761,フタナリ,ビッチ,-0.049299178464786125
32162,おもちゃ,逆転無し,-0.049126910387213056
36306,おっぱい,逆レ,-0.04909436180065358
24430,女主人公,アナル,-0.04908817583847415
30806,手コキ,総集編,-0.049080387283357715
5146,命令/無理矢理,淫語,-0.049013444705995654
23219,中出し,脚,-0.04898520309837521
61325,虫えっち,巨乳/爆乳,-0.04884965828826784
20941,断面図,逆転無し,-0.04884003343536302
20737,潮吹き,逆転無し,-0.04884003343536292
23164,中出し,言葉責め,-0.04873566593507233
67319,キャットファイト,フェラチオ,-0.04870682961853133
25125,男性受け,露出,-0.048592686986819976
24961,合意なし,お姉さん,-0.04857884079649882
23066,中出し,ゲイ/男同士,-0.04856856758322294
19550,屈辱,シリーズもの,-0.04855985777729523
19568,屈辱,ギャル,-0.04846290118044111
37981,妊娠/孕ませ,逆転無し,-0.04842544661573275
67686,格闘,フェラチオ,-0.04832208310596174
63515,ムチムチ,連続絶頂,-0.048313220325474505
36449,悪堕ち,制服,-0.04830812154898862
32890,ボクっ娘,巨乳/爆乳,-0.04826164246108232
30849,手コキ,女主人公,-0.048261276066174356
27020,人妻,男性受け,-0.04823422724076805
59330,学生,フタナリ,-0.04822397269915671
25630,本番なし,断面図,-0.048154784276276126
23990,寝取られ,つるぺた,-0.04813024842577923
7550,口内射精,シリーズもの,-0.0481115835388283
19534,屈辱,逆転無し,-0.04807546139086384
55697,フタナリ,水着,-0.048041716470956126
4800,オナニー,シリーズもの,-0.04783512954502495
12434,フェラチオ,逆転無し,-0.047825615354076034
8961,制服,人体改造,-0.047675541917013675
40407,パイズリ,女主人公,-0.047627192471259676
59266,学生,悪堕ち,-0.04762162860979152
25623,本番なし,屈辱,-0.0476185423744827
30783,手コキ,性転換(TS),-0.04757377345156449
3069,ラブラブ/あまあま,異種えっち,-0.04749864726497495
58868,ニプルファック,中出し,-0.047412875176190514
23811,オホ声,フェラチオ,-0.04738208289702542
21576,お姉さん,アヘ顔,-0.047379686841725506
23814,オホ声,処女,-0.0473586086797236
40402,パイズリ,マニアック/変態,-0.04732806699538163
25503,本番なし,ラブラブ/あまあま,-0.04728579436172716
64091,おねショタ,トランス/暗示,-0.046998414344478406
64028,おねショタ,触手,-0.046964599857078154
23058,中出し,女性視点,-0.04689397342723497
1269,人体改造,貧乳/微乳,-0.04673429123590794
31145,巨乳/爆乳,靴下,-0.04671410978827071
37982,妊娠/孕ませ,乳首責め,-0.0466581824828071
36115,おっぱい,コメディ,-0.04662985797546803
16459,クリ責め,学校/学園,-0.04655465939464588
55819,フタナリ,お姉さん,-0.0465293949887728
31166,巨乳/爆乳,戦闘エロ,-0.04649234820426593
6768,リョナ,オナニー,-0.04644400735154536
40257,パイズリ,少女,-0.04643849427351179
30838,手コキ,快楽堕ち,-0.04643356610995574
55895,フタナリ,パイズリ,-0.04639683398335857
49985,ツクール,中出し,-0.046385008361860595
23126,中出し,年下攻め,-0.04638500836186058
23949,寝取られ,ラブラブ/あまあま,-0.04628011229005371
55852,フタナリ,退廃/背徳/インモラル,-0.046233636228369165
1099,シリーズもの,レズ/女同士,-0.046169037101938135
55730,フタナリ,つるぺた,-0.046125262210585355
59214,学生,オホ声,-0.04575287462274162
